amfi_code,scheme_name,Alpha,Beta,R_squared,P_value,Std_Error
119598,SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.023196062044059704,0.0001414257550272172,0.6871791461096047,0.05758874143280734
149324,DSP Small Cap Fund - Regular - Growth,0.3005787817097677,0.011455159960520695,3.532990626795555e-05,0.8404935891843303,0.056903703736950015
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2926358334175106,0.0005490042506317072,1.345534167566861e-07,0.990090235690614,0.04419229984364898
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246582,0.018133884083859235,0.00017488886568129533,0.6542952865906955,0.04048461987728161
120843,Kotak Flexicap Fund - Regular - Growth,0.27330465038306057,-0.02282956979242655,0.00034305434271514486,0.5305284121437438,0.03638815632934553
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2719535450128533,0.005103525830528319,1.2066520635068207e-05,0.9063691402409377,0.0433805404268303
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2698375144191807,0.023683558075848637,0.000462543690662385,0.46642651975427474,0.032507861129173886
149323,DSP Midcap Fund - Regular - Growth,0.26598577542043045,-0.0025230046646992775,3.3579781920089404e-06,0.9505247706268656,0.040653381887808544
119094,Axis Midcap Fund - Regular - Growth,0.2607666908004223,-0.0662654286280376,0.0019368789369602333,0.1359875235249847,0.04441534793764907
119551,SBI Bluechip Fund - Regular Plan - Growth,0.23201007160635082,-0.031751441138909736,0.0008869788879322819,0.3131430272308455,0.031465337983741765
118632,Nippon India Large Cap Fund - Regular - Growth,0.21829397904608644,-0.008353832126962014,5.791756270127821e-05,0.7966457465470186,0.0324105438835402
101206,ABSL Frontline Equity Fund - Regular - Growth,0.21399784776051212,0.021086316250128037,0.00034804820307142523,0.5275509209180675,0.03336750375157688
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.2119482701352573,0.016232169761416997,0.00021216129075887427,0.6218551541356454,0.03290150146588935
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942337,-0.026387719943843025,0.0004859264752797321,0.45537031787419846,0.035336972057833475
119552,SBI Bluechip Fund - Direct Plan - Growth,0.1986859936686296,-0.026159307513513426,0.0005850821704543436,0.4127055818020541,0.031923390924810474
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531766,0.04882040425957739,0.001840179278307158,0.14617594874598652,0.03357296026148678
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.17703302365844073,-0.040268952369820595,0.001397444608331861,0.20543745183411544,0.03178466640024182
118634,Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.10349663691337589,0.0027930065610663234,0.07333892285784308,0.05774324797224455
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17048756803412696,-0.019486785689474522,0.00038285030730923807,0.5075948866942019,0.02940091517888598
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998104,0.041896462728119775,0.0012571178108220736,0.22978488107543152,0.034868599753751
102887,UTI Flexi Cap Fund - Regular - Growth,0.16211256794033255,0.016682689437770844,0.00018619166432850203,0.644046677089005,0.03609639283424431
118633,Nippon India Large Cap Fund - Direct - Growth,0.1564383594816967,-0.03663900671860936,0.0011382947171084286,0.2531567885063238,0.032046994367127025
118635,Nippon India ETF Nifty 50 BeES,0.1513635464823924,-0.001433521389780124,2.025340897232818e-06,0.9615666405413446,0.02974219129299423
149322,DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099432,-0.004050271130006523,1.3227607880850393e-05,0.9019895024405027,0.0328820479997885
120841,Kotak Bluechip Fund - Regular - Growth,0.13042924450705445,0.0363563990221998,0.0012113711061211869,0.23845930871566398,0.030824592340953673
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739151,4.0437465536342426e-05,0.8295182110189219,0.04204146371813351
101207,ABSL Small Cap Fund - Regular - Growth,0.10897091901704538,-0.06528924788351523,0.0010641052735572613,0.2692338285998,0.05906585139524708
